,Age,Income,Children,Outage_sec_perweek_avg,Contacts,Yearly_equip_failure,Tenure_months,MonthlyCharge_avg,Bandwidth_GB_Year_avg,Churn_numeric,Port_modem_numeric,Tablet_numeric,MultipleLines_numeric,OnlineSecurity_numeric,OnlineBackup_numeric,DeviceProtection_numeric,TechSupport_numeric,StreamingMovies_numeric,Area_Suburban,Area_Urban,Gender_Male,Gender_Nonbinary,ContractType_One year,ContractType_Two Year,InternetServiceType_Fiber Optic,InternetServiceType_None
0,68,28561.99,0,7.978322947,0,1,6.795512947,172.455519,904.5361102,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
1,27,21704.77,1,11.69907956,0,1,1.156680997,242.632554,800.9827661,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
2,50,9609.57,4,10.75280028,0,1,15.75414408,159.947583,2054.706961,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
3,48,18925.23,1,14.91353964,2,0,17.08722662,119.95684,2164.579412,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
4,83,40074.19,0,8.147416533,2,1,1.670971726,149.948316,271.4934362,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5,83,22660.2,3,8.420992898,3,1,7.000993555,185.007692,1039.357983,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1
6,79,11467.5,0,11.18272453,0,1,13.23677381,200.118516,1907.242972,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
7,30,26759.64,2,7.791632265,0,0,4.26425515,114.950905,979.6127078,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8,49,58634.51,2,5.739005915,2,3,8.220686373,117.468591,1312.874964,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
9,86,50231.4,1,8.707823904,1,0,3.422086139,162.482694,508.7637913,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
10,23,22580.7,7,9.341631685,0,2,19.26726194,174.958118,2728.767869,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
11,56,18342.12,2,6.68082638,1,1,10.52199781,149.962093,1180.588788,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,83,83671.08,0,8.273875452,0,0,13.01149229,137.439154,1196.388018,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,29,115114.57,5,5.880565591,1,0,16.87922024,184.971516,1948.694497,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0
14,30,64256.81,1,11.79073041,3,0,10.06019902,159.965581,1582.295235,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
15,39,89061.45,3,10.79846973,1,0,13.87001293,177.65076,1840.014467,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
16,63,31659.3,0,13.52284721,1,0,15.78214958,194.966286,2070.376729,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
17,60,44142.81,2,9.831166695,3,0,2.303331273,202.682861,882.0985933,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
